head,head,head,head,head,head
0,0.1,17.64705882,21.42857143,0.2,0.3
0,0,5.882352941,20,0,0
0,0,14.28571429,25,0,0
0,0,11.76470588,16.66666667,0,0
0,0,14.28571429,25,0,0
0,0,5,20,0,0
0,0,17.64705882,33.33333333,0,0
0,0,7.142857143,12.5,0,0
0,0,11.76470588,25,0,0
0,0,14.28571429,20,0,0
0,0,0,0,0,0
0,0,7.142857143,8.333333333,0,0
0,0,7.142857143,12.5,0,0
0,0,20,33.33333333,0,0
0,0,8.333333333,7.692307692,0,0
0,0,16.66666667,25,0,0
0,0,13.33333333,22.22222222,0,0
0,0,8.333333333,11.11111111,0,0
0,0,6.666666667,10,0,0
0,0,5.263157895,10,0,0
0,0,7.692307692,11.11111111,0,0
0,0,10.52631579,15.38461538,0,0
0,0,6.666666667,16.66666667,0,0
0,0,6.666666667,10,0,0
0,0,4.761904762,10,0,0
0,0,16.66666667,22.22222222,0,0
0,0,7.692307692,11.11111111,0,0
0,0,16.66666667,25,0,0
0,0,7.142857143,10,0,0
0,0,6.666666667,10,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,22.22222222,0,0
0,0,0,0,0,0
0,0,7.142857143,14.28571429,0,0
0,0,5.882352941,14.28571429,0,0
16.66666667,25,6.666666667,20,0,0
0,0,8.333333333,12.5,0,0
0,0,7.142857143,10,0,0
0,0,26.66666667,28.57142857,0,0
0,0,5.263157895,10,0,0
0,0,23.52941176,33.33333333,0,0
0,0,7.142857143,12.5,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,28.57142857,0,0
33.33333333,50,6.666666667,11.11111111,0,0
0,0,9.090909091,6.666666667,0,0
0,0,8.333333333,14.28571429,0,0
0,0,8.333333333,9.090909091,0,0
0,0,16.66666667,60,0,0
0,0,17.64705882,21.42857143,0,0
0,0,23.07692308,21.42857143,0,0
0,0,5.882352941,12.5,0,0
0,0,5.882352941,14.28571429,0,0
0,0,6.666666667,12.5,0,0
0,0,7.692307692,33.33333333,0,0
0,0,8.333333333,6.666666667,0,0
0,0,21.42857143,37.5,0,0
0,0,14.28571429,22.22222222,0,0
0,0,14.28571429,25,0,0
0,0,5.263157895,14.28571429,0,0
50,100,22.22222222,40,0,0
0,0,23.52941176,40,0,0
0,0,7.142857143,11.11111111,0,0
0,0,10,20,0,0
0,0,7.142857143,16.66666667,0,0
0,0,7.142857143,14.28571429,0,0
0,0,12.5,13.33333333,0,0
0,0,14.28571429,13.33333333,0,0
0,0,6.666666667,12.5,0,0
0,0,7.142857143,16.66666667,0,0
